CCLE_Name,lineage_subtype,id
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
SNU840_OVARY,brenner_tumor,42
A172_CENTRAL_NERVOUS_SYSTEM,glioma,10
PANC1005_PANCREAS,exocrine,8
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
TUHR10TKB_KIDNEY,renal_cell_carcinoma,15
CHP126_AUTONOMIC_GANGLIA,neuroblastoma,24
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CML,23
NCIH3122_LUNG,NSCLC,4
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
A204_SOFT_TISSUE,malignant_rhabdoid_tumor,28
BB49HNC_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
SW982_SOFT_TISSUE,synovial_sarcoma,64
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
NCIH1299_LUNG,NSCLC,4
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
PCI4B_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
SW48_LARGE_INTESTINE,colorectal_adenocarcinoma,1
OCUBM_BREAST,breast_carcinoma,6
BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
LOXIMVI_SKIN,melanoma,2
SKMEL28_SKIN,melanoma,2
WM793_SKIN,melanoma,2
SNU1066_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
OVMIU_OVARY,ovary_adenocarcinoma,5
CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
NCIH1963_LUNG,SCLC,30
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
SQ1_LUNG,NSCLC,4
SW1353_BONE,chondrosarcoma,50
CHAGOK1_LUNG,NSCLC,4
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
SNUC2A_LARGE_INTESTINE,colorectal_adenocarcinoma,1
LN18_CENTRAL_NERVOUS_SYSTEM,glioma,10
PWR1E_PROSTATE,prostate_adenocarcinoma,27
MS751_CERVIX,cervical_squamous,66
IGR37_SKIN,melanoma,2
HUO3N1_BONE,osteosarcoma,25
OSRC2_KIDNEY,renal_cell_carcinoma,15
UMUC3_URINARY_TRACT,bladder_carcinoma,3
SNU216_STOMACH,gastric_adenocarcinoma,16
TGBC11TKB_STOMACH,gastric_adenocarcinoma,16
NCIH2141_LUNG,SCLC,30
LS513_LARGE_INTESTINE,colorectal_adenocarcinoma,1
OAW28_OVARY,ovary_adenocarcinoma,5
CAL62_THYROID,thyroid_carcinoma,21
MS1_SKIN,merkel_cell_carcinoma,61
HCC4006_LUNG,NSCLC,4
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
201T_LUNG,NSCLC,4
LB771HNC_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma_unspecified,12
GEO_LARGE_INTESTINE,colorectal_adenocarcinoma,1
CAPAN1_PANCREAS,exocrine,8
NCIH1944_LUNG,NSCLC,4
G292CLONEA141B1_BONE,osteosarcoma,25
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,endometrial_adenocarcinoma,36
PA1_OVARY,mixed_germ_cell,68
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
ISTMES1_PLEURA,mesothelioma,26
SKGT4_OESOPHAGUS,esophagus_adenocarcinoma,48
D392MG_CENTRAL_NERVOUS_SYSTEM,glioma,10
NCIH2172_LUNG,NSCLC,4
HCC1171_LUNG,NSCLC,4
HLE_LIVER,hepatocellular_carcinoma,40
MYM12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,acute_biphenotypic_leukemia,86
TASK1_CENTRAL_NERVOUS_SYSTEM,PNET,75
HEPG2_LIVER,hepatocellular_carcinoma,40
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
JHOS2_OVARY,ovary_adenocarcinoma,5
KYSE150_OESOPHAGUS,esophagus_squamous,44
KYSE70_OESOPHAGUS,esophagus_squamous,44
NCIH835_LUNG,lung_carcinoid,57
NCIH2029_LUNG,SCLC,30
NCIH2087_LUNG,NSCLC,4
HOS_BONE,osteosarcoma,25
MFE280_ENDOMETRIUM,endometrial_adenocarcinoma,36
EMCBAC1_LUNG,NSCLC,4
LU65_LUNG,NSCLC,4
NCIH446_LUNG,SCLC,30
EW18_BONE,Ewing_sarcoma,13
LB647SCLC_LUNG,SCLC,30
JIYOYEP2003_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
KARPAS45_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
BB65RCC_KIDNEY,renal_cell_carcinoma,15
KALS1_CENTRAL_NERVOUS_SYSTEM,glioma,10
ECC12_STOMACH,gastric_small_cell,41
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
NCIH1581_LUNG,NSCLC,4
NCIH524_LUNG,SCLC,30
COLO824_BREAST,breast,77
BECKER_CENTRAL_NERVOUS_SYSTEM,glioma,10
CAL39_VULVA,skin_squamous,65
HCC33_LUNG,SCLC,30
LNCAPCLONEFGC_PROSTATE,prostate_adenocarcinoma,27
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
JMSU1_URINARY_TRACT,bladder_carcinoma,3
LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
SKNEP1_BONE,Ewing_sarcoma,13
LAN6_AUTONOMIC_GANGLIA,neuroblastoma,24
KMOE2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
HEC151_ENDOMETRIUM,endometrial_adenocarcinoma,36
WM88_SKIN,melanoma,2
SNU503_LARGE_INTESTINE,colorectal_adenocarcinoma,1
BICR31_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
NCIH1694_LUNG,SCLC,30
HS729_SOFT_TISSUE,fibroblast_soft_tissue,31
CALU1_LUNG,NSCLC,4
NCIH747_LARGE_INTESTINE,colorectal_adenocarcinoma,1
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
H2369_PLEURA,mesothelioma,26
ZR7530_BREAST,breast_ductal_carcinoma,14
OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
SNU1041_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
MFE319_ENDOMETRIUM,endometrial_adenocarcinoma,36
PK45H_PANCREAS,exocrine,8
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
TE5_OESOPHAGUS,esophagus_squamous,44
GI1_CENTRAL_NERVOUS_SYSTEM,glioma,10
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
HCC1428_BREAST,breast_carcinoma,6
U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
MEWO_SKIN,melanoma,2
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
NCC021_KIDNEY,renal_cell_carcinoma,15
RERFLCSQ1_LUNG,NSCLC,4
JSC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
YD38_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
UACC62_SKIN,melanoma,2
NCIH358_LUNG,NSCLC,4
KYSE50_OESOPHAGUS,esophagus_squamous,44
GB1_CENTRAL_NERVOUS_SYSTEM,glioma,10
D542MG_CENTRAL_NERVOUS_SYSTEM,glioma,10
RH18_SOFT_TISSUE,rhabdomyosarcoma,17
8305C_THYROID,thyroid_carcinoma,21
NCIH196_LUNG,SCLC,30
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
ISTSL2_LUNG,SCLC,30
NCIH460_LUNG,NSCLC,4
NCIH2286_LUNG,SCLC,30
HS939T_SKIN,melanoma,2
SKMG1_CENTRAL_NERVOUS_SYSTEM,glioma,10
SW756_CERVIX,cervical_squamous,66
SW1710_URINARY_TRACT,bladder_carcinoma,3
KYSE220_OESOPHAGUS,esophagus_squamous,44
SNU1079_BILIARY_TRACT,cholangiocarcinoma,39
HOP62_LUNG,NSCLC,4
OV17R_OVARY,ovary_adenocarcinoma,5
SNU61_LARGE_INTESTINE,colorectal_adenocarcinoma,1
M059J_CENTRAL_NERVOUS_SYSTEM,glioma,10
JHU028_LUNG,NSCLC,4
SW872_SOFT_TISSUE,liposarcoma,89
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CML,23
JIMT1_BREAST,breast_ductal_carcinoma,14
NCIH889_LUNG,SCLC,30
MCAS_OVARY,ovary_adenocarcinoma,5
RERFGC1B_STOMACH,gastric_adenocarcinoma,16
SKNFI_AUTONOMIC_GANGLIA,neuroblastoma,24
NCIH82_LUNG,SCLC,30
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
NMCG1_CENTRAL_NERVOUS_SYSTEM,glioma,10
OE21_OESOPHAGUS,esophagus_squamous,44
NCIH1693_LUNG,NSCLC,4
CJM_SKIN,melanoma,2
SNU81_LARGE_INTESTINE,colorectal_adenocarcinoma,1
OMC1_CERVIX,cervical_squamous,66
HCE4_OESOPHAGUS,esophagus_squamous,44
MDAMB415_BREAST,breast_carcinoma,6
ISTMEL1_SKIN,melanoma,2
JHUEM3_ENDOMETRIUM,endometrial_adenocarcinoma,36
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
CORL95_LUNG,SCLC,30
SW579_THYROID,thyroid_squamous,35
IALM_LUNG,NSCLC,4
NCIH1688_LUNG,SCLC,30
LXF289_LUNG,NSCLC,4
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
NCIH2030_LUNG,NSCLC,4
GAK_SKIN,melanoma,2
NCIH1975_LUNG,NSCLC,4
SKPNDW_BONE,Ewing_sarcoma,13
MCC13_SKIN,merkel_cell_carcinoma,61
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
JHUEM2_ENDOMETRIUM,endometrial_adenocarcinoma,36
NCIH1385_LUNG,NSCLC,4
KMRC20_KIDNEY,renal_cell_carcinoma,15
SN12C_KIDNEY,renal_cell_carcinoma,15
NCIH1563_LUNG,NSCLC,4
SNU466_CENTRAL_NERVOUS_SYSTEM,glioma,10
NUGC3_STOMACH,gastric_adenocarcinoma,16
TT2609C02_THYROID,thyroid_carcinoma,21
PC14_LUNG,NSCLC,4
NB69_AUTONOMIC_GANGLIA,neuroblastoma,24
TE617T_SOFT_TISSUE,rhabdomyosarcoma,17
SKCO1_LARGE_INTESTINE,colorectal_adenocarcinoma,1
CORL51_LUNG,SCLC,30
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
YD15_SALIVARY_GLAND,upper_aerodigestive_squamous,38
HCC1500_BREAST,breast_ductal_carcinoma,14
HS940T_FIBROBLAST,fibroblast_skin,32
SKHEP1_LIVER,hepatocellular_carcinoma,40
GP5D_LARGE_INTESTINE,colorectal_adenocarcinoma,1
GSU_STOMACH,gastric_adenocarcinoma,16
MCC26_SKIN,merkel_cell_carcinoma,61
NCIH2126_LUNG,NSCLC,4
TUR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
SNU46_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
SCC15_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
KOSC2_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
OACP4C_OESOPHAGUS,esophagus_adenocarcinoma,48
UMUC1_URINARY_TRACT,bladder_carcinoma,3
EMCBAC2_LUNG,NSCLC,4
NCIH1155_LUNG,NSCLC,4
JHH7_LIVER,hepatocellular_carcinoma,40
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
CORL47_LUNG,SCLC,30
ISTSL1_LUNG,SCLC,30
CAL29_URINARY_TRACT,bladder_carcinoma,3
OVK18_OVARY,ovary_adenocarcinoma,5
NB1_AUTONOMIC_GANGLIA,neuroblastoma,24
G401_SOFT_TISSUE,malignant_rhabdoid_tumor,28
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
OV7_OVARY,ovary_adenocarcinoma,5
SCC90_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
COLO678_LARGE_INTESTINE,colorectal_adenocarcinoma,1
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
NB10_AUTONOMIC_GANGLIA,neuroblastoma,24
TOV112D_OVARY,ovary_adenocarcinoma,5
COV434_OVARY,ovary_adenocarcinoma,5
TYKNU_OVARY,ovary_adenocarcinoma,5
CALU6_LUNG,NSCLC,4
TE10_OESOPHAGUS,esophagus_squamous,44
HEY_OVARY,ovary_adenocarcinoma,5
A2780_OVARY,ovary_adenocarcinoma,5
TM31_CENTRAL_NERVOUS_SYSTEM,glioma,10
IPC298_SKIN,melanoma,2
T3M10_LUNG,NSCLC,4
LN405_CENTRAL_NERVOUS_SYSTEM,glioma,10
LIM1215_LARGE_INTESTINE,colon_adenocarcinoma,90
SW1463_LARGE_INTESTINE,colorectal_adenocarcinoma,1
NCIH1648_LUNG,NSCLC,4
HO1N1_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
WIL2NS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,engineered,82
SJRH30_SOFT_TISSUE,rhabdomyosarcoma,17
KU1919_URINARY_TRACT,bladder_carcinoma,3
NCIH838_LUNG,NSCLC,4
NCIH1869_LUNG,NSCLC,4
LB373MELD_SKIN,melanoma,2
SNU869_BILIARY_TRACT,cholangiocarcinoma,39
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma_unspecified,12
HCC1395_BREAST,breast_ductal_carcinoma,14
OE33_OESOPHAGUS,esophagus_adenocarcinoma,48
SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,hodgkin_lymphoma,22
IM95_STOMACH,gastric_adenocarcinoma,16
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,62
ZR751_BREAST,breast_ductal_carcinoma,14
MKN28_STOMACH,gastric_adenocarcinoma,16
HCC1599_BREAST,breast_ductal_carcinoma,14
ES2_OVARY,ovary_adenocarcinoma,5
NCIH345_LUNG,SCLC,30
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,hodgkin_lymphoma,22
SW1990_PANCREAS,exocrine,8
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
BEN_LUNG,NSCLC,4
HEC1_ENDOMETRIUM,endometrial_adenocarcinoma,36
TE11_OESOPHAGUS,esophagus_squamous,44
HCT15_LARGE_INTESTINE,colorectal_adenocarcinoma,1
NCIH2122_LUNG,NSCLC,4
RCC10RGB_KIDNEY,renal_cell_carcinoma,15
NCIH2052_PLEURA,mesothelioma,26
MFHINO_SOFT_TISSUE,malignant_fibrous_histiocytoma,85
MZ7MEL_SKIN,melanoma,2
OVSAHO_OVARY,ovary_adenocarcinoma,5
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
MELJUSO_SKIN,melanoma,2
LB1047RCC_KIDNEY,renal_cell_carcinoma,15
SUIT2_PANCREAS,exocrine,8
KE39_STOMACH,gastric_adenocarcinoma,16
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
PCI15A_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
SH4_SKIN,melanoma,2
NCIH650_LUNG,NSCLC,4
GCT_SOFT_TISSUE,pleomorphic_sarcoma,58
NCIH28_PLEURA,mesothelioma,26
BICR78_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
SISO_CERVIX,cervical_adenocarcinoma,67
NCIH1792_LUNG,NSCLC,4
CORL88_LUNG,SCLC,30
HLF_LIVER,hepatocellular_carcinoma,40
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,hodgkin_lymphoma,22
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CML,23
KON_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
DAOY_CENTRAL_NERVOUS_SYSTEM,medulloblastoma,20
SNGM_ENDOMETRIUM,endometrial_adenocarcinoma,36
SKN3_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
EW7_BONE,Ewing_sarcoma,13
AN3CA_ENDOMETRIUM,endometrial_adenocarcinoma,36
YH13_CENTRAL_NERVOUS_SYSTEM,glioma,10
SNU1214_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
NCIH526_LUNG,SCLC,30
SAS_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
HEC1B_ENDOMETRIUM,endometrial_adenocarcinoma,36
CHL1_SKIN,melanoma,2
253JBV_URINARY_TRACT,bladder_carcinoma,3
CFPAC1_PANCREAS,exocrine,8
CAL33_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
KMRC1_KIDNEY,renal_cell_carcinoma,15
H3118_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,83
YAPC_PANCREAS,exocrine,8
SKNSH_AUTONOMIC_GANGLIA,neuroblastoma,24
TUHR4TKB_KIDNEY,renal_cell_carcinoma,15
HCC44_LUNG,NSCLC,4
KINGS1_CENTRAL_NERVOUS_SYSTEM,glioma,10
DU145_PROSTATE,prostate_adenocarcinoma,27
OSC20_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
NB6_AUTONOMIC_GANGLIA,neuroblastoma,24
J82_URINARY_TRACT,bladder_carcinoma,3
STS0421_SOFT_TISSUE,gastric_adenocarcinoma,16
KYSE30_OESOPHAGUS,esophagus_squamous,44
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
HC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,hairy_cell_leukemia,84
NCIH2228_LUNG,NSCLC,4
HOP92_LUNG,NSCLC,4
BICR56_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
QIMRWIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
NCIH2081_LUNG,SCLC,30
NCIH1436_LUNG,SCLC,30
HSC39_STOMACH,gastric_adenocarcinoma,16
TUHR14TKB_KIDNEY,renal_cell_carcinoma,15
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,glioma,10
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
EN_ENDOMETRIUM,endometrial_adenocarcinoma,36
JEG3_PLACENTA,choriocarcinoma,73
G361_SKIN,melanoma,2
HUH1_LIVER,hepatocellular_carcinoma,40
253J_URINARY_TRACT,bladder_carcinoma,3
WM1799_SKIN,melanoma,2
T98G_CENTRAL_NERVOUS_SYSTEM,glioma,10
EBC1_LUNG,NSCLC,4
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
SNB75_CENTRAL_NERVOUS_SYSTEM,glioma,10
IGR1_SKIN,melanoma,2
JHOM1_OVARY,ovary_adenocarcinoma,5
WT,WT,91
ML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
YD10B_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
YD8_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
KELLY_AUTONOMIC_GANGLIA,neuroblastoma,24
SKMEL31_SKIN,melanoma,2
NBSUSSR_AUTONOMIC_GANGLIA,neuroblastoma,24
SKOV3_OVARY,ovary_adenocarcinoma,5
H9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
OVCA420_OVARY,ovary_adenocarcinoma,5
TK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
CORL311_LUNG,SCLC,30
QGP1_PANCREAS,endocrine,46
VMRCRCZ_KIDNEY,renal_cell_carcinoma,15
CAOV3_OVARY,ovary_adenocarcinoma,5
UMC11_LUNG,lung_carcinoid,57
PK1_PANCREAS,exocrine,8
KLE_ENDOMETRIUM,endometrial_adenocarcinoma,36
HCC1187_BREAST,breast_ductal_carcinoma,14
D566MG_CENTRAL_NERVOUS_SYSTEM,glioma,10
HCC827_LUNG,NSCLC,4
NCCSTCK140_STOMACH,gastric_adenocarcinoma,16
SKNAS_AUTONOMIC_GANGLIA,neuroblastoma,24
NCIH2110_LUNG,NSCLC,4
AU565_BREAST,breast_adenocarcinoma,29
RVH421_SKIN,melanoma,2
LC1F_LUNG,NSCLC,4
GSS_STOMACH,gastric_adenocarcinoma,16
HEMCSS_BONE,chondrosarcoma,50
CAL120_BREAST,breast_carcinoma,6
HCC95_LUNG,NSCLC,4
SW900_LUNG,NSCLC,4
DMS114_LUNG,SCLC,30
A388_SKIN,skin_squamous ,70
MIAPACA2_PANCREAS,exocrine,8
CHP212_AUTONOMIC_GANGLIA,neuroblastoma,24
IM9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,engineered,82
LCLC103H_LUNG,NSCLC,4
K029AX_SKIN,melanoma,2
JHH4_LIVER,hepatocellular_carcinoma,40
NCIH1395_LUNG,NSCLC,4
KYSE270_OESOPHAGUS,esophagus_squamous,44
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
MZ1PC_PANCREAS,exocrine,8
NCIH1781_LUNG,NSCLC,4
SW1417_LARGE_INTESTINE,colorectal_adenocarcinoma,1
HN_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
